ISO 639-3	ISO 639-2B	ISO 639-2T	ISO 639-1	type	macro
bxh				I	
bxj				I	
bxk				I	luy
bxl				I	
bxm				I	bua
bxn				I	
bxo				I	
bxp				I	
bxq				I	
bxr				I	bua
bxs				I	
bxu				I	bua
bxv				I	
bxw				I	
bxz				I	
bya				I	
byb				I	
byc				I	
byd				I	
bye				I	
byf				I	
byh				I	
byi				I	
byj				I	
byk				I	
byl				I	
bym				I	
byn	byn	byn		I	
byo				I	
byp				I	
byr				I	
bys				I	
byv				I	
byw				I	
byx				I	
byz				I	
bza				I	
bzb				I	
bzc				I	mlg
bzd				I	
bze				I	
bzf				I	
bzg				I	
bzh				I	
bzi				I	
bzj				I	
bzk				I	
bzl				I	
bzm				I	
bzn				I	
bzo				I	
bzp				I	
bzq				I	
bzs				I	
bzu				I	
bzv				I	
bzw				I	
bzx				I	
bzy				I	
bzz				I	
caa				I	
cab				I	
cac				I	
cad	cad	cad		I	
cae				I	
caf				I	
cag				I	
cah				I	
cak				I	
cal				I	
cam				I	
can				I	
cao				I	
cap				I	
caq				I	
car	car	car		I	
cas				I	
cat	cat	cat	ca	I	
cav				I	
caw				I	
cax				I	
cay				I	
cbb				I	
cbc				I	
cbd				I	
cbg				I	
cbi				I	
cbj				I	
cbk				I	
cbl				I	
cbn				I	
cbo				I	
cbq				I	
cbr				I	
cbs				I	
cbt				I	
cbu				I	
cbv				I	
cbw				I	
cby				I	
ccc				I	
ccd				I	
cce				I	
ccg				I	
cch				I	
ccj				I	
ccl				I	
ccm				I	
cco				I	
ccp				I	
cda				I	
cde				I	
cdf				I	
cdg				I	
cdh				I	
cdi				I	
cdj				I	
cdm				I	
cdn				I	
cdo				I	zho
cdr				I	
cds				I	
cdy				I	
cdz				I	
ceb	ceb	ceb		I	
ceg				I	
cek				I	
cen				I	
ces	cze	ces	cs	I	
cet				I	
cfa				I	
cfd				I	
cfg				I	
cfm				I	
cga				I	
cgc				I	
cgg				I	
cgk				I	
cha	cha	cha	ch	I	
chd				I	
che	che	che	ce	I	
chf				I	
chh				I	
chj				I	
chk	chk	chk		I	
chl				I	
chm	chm	chm		M	
chn	chn	chn		I	
cho	cho	cho		I	
chp	chp	chp		I	
chq				I	
chr	chr	chr		I	
chv	chv	chv	cv	I	
chw				I	
chx				I	
chy	chy	chy		I	
chz				I	
cia				I	
cib				I	
cic				I	
cie				I	
cih				I	
cik				I	
cim				I	
cin				I	
cip				I	
cir				I	
ciw				I	oji
ciy				I	
cja				I	
cje				I	
cji				I	
cjk				I	
cjm				I	
cjn				I	
cjo				I	
cjp				I	
cjs				I	
cjv				I	
cjy				I	zho
ckb				I	kur
ckh				I	
ckl				I	
ckn				I	
cko				I	
ckq				I	
ckr				I	
cks				I	
ckt				I	
cku				I	
ckv				I	
ckx				I	
cky				I	
ckz				I	
cla				I	
clc				I	
cld				I	syr
cle				I	
clh				I	
cli				I	
clj				I	
clk				I	
cll				I	
clm				I	
clo				I	
clt				I	
clu				I	
clw				I	
cly				I	
cma				I	
cme				I	
cmi				I	
cml				I	
cmn				I	zho
cmo				I	
cmr				I	
cmt				I	
cna				I	
cnb				I	
cnc				I	
cng				I	
cnh				I	
cni				I	
cnk				I	
cnl				I	
cno				I	
cns				I	
cnt				I	
cnu				I	
cnw				I	
coa				I	msa
coc				I	
cod				I	
coe				I	
cof				I	
cog				I	
coh				I	
cok				I	
col				I	
com				I	
con				I	
coo				I	
cor	cor	cor	kw	I	
cos	cos	cos	co	I	
cot				I	
cou				I	
cov				I	
cox				I	
coz				I	
cpa				I	
cpb				I	
cpc				I	
cpi				I	
cpn				I	
cpo				I	
cps				I	
cpu				I	
cpx				I	zho
cpy				I	
cqd				I	hmn
cqu				I	que
cra				I	
crc				I	
crd				I	
cre	cre	cre	cr	M	
crg				I	
crh	crh	crh		I	
cri				I	
crj				I	cre
crk				I	cre
crl				I	cre
crm				I	cre
crn				I	
cro				I	
crq				I	
crs				I	
crt				I	
crv				I	
crw				I	
crx				I	
cry				I	
csa				I	
csb	csb	csb		I	
csc				I	
csd				I	
cse				I	
csf				I	
csg				I	
csh				I	
csj				I	
csk				I	
csl				I	
csm				I	
csn				I	
cso				I	
csq				I	
csr				I	
cst				I	
csv				I	
csw				I	cre
csy				I	
csz				I	
cta				I	
ctc				I	
ctd				I	
cte				I	
ctg				I	
cth				I	
ctl				I	
ctn				I	
cto				I	
ctp				I	
cts				I	bik
ctt				I	
ctu				I	
ctz				I	
cua				I	
cub				I	
cuc				I	
cug				I	
cuh				I	
cui				I	
cuj				I	
cuk				I	
cul				I	
cuq				I	
cur				I	
cut				I	
cuu				I	
cuv				I	
cuw				I	
cux				I	
cvg				I	
cvn				I	
cwa				I	
cwb				I	
cwd				I	cre
cwe				I	
cwg				I	
cwt				I	
cya				I	
cym	wel	cym	cy	I	
cyo				I	
czh				I	zho
czn				I	
czo				I	zho
czt				I	
daa				I	
dac				I	
dad				I	
dae				I	
dag				I	
dah				I	
dai				I	
daj				I	
dak	dak	dak		I	
dal				I	
dam				I	
dan	dan	dan	da	I	
dao				I	
daq				I	
dar	dar	dar		I	
das				I	
dau				I	
dav				I	
daw				I	
dax				I	
daz				I	
dba				I	
dbb				I	
dbd				I	
dbe				I	
dbf				I	
dbg				I	
dbi				I	
dbj				I	
dbl				I	
dbm				I	
dbn				I	
dbo				I	
dbp				I	
dbq				I	
dbr				I	
dbt				I	
dbu				I	
dbv				I	
dbw				I	
dby				I	
dcc				I	
ddd				I	
dde				I	
ddg				I	
ddi				I	
ddj				I	
ddn				I	
ddo				I	
dds				I	
ddw				I	
dec				I	
ded				I	
dee				I	
def				I	
deg				I	
deh				I	
dei				I	
dek				I	
del	del	del		M	
dem				I	
den	den	den		M	
deq				I	
der				I	
des				I	
deu	ger	deu	de	I	
dev				I	
dez				I	
dga				I	
dgb				I	
dgc				I	
dgd				I	
dge				I	
dgg				I	
dgh				I	
dgi				I	
dgk				I	
dgl				I	
dgo				I	doi
dgr	dgr	dgr		I	
dgs				I	
dgu				I	
dgx				I	
dgz				I	
dhd				I	mwr
dhg				I	
dhi				I	
dhl				I	
dhm				I	
dhn				I	
dho				I	
dhr				I	
dhs				I	
dhv				I	
dhw				I	
dhx				I	
dia				I	
dib				I	din
dic				I	
did				I	
dig				I	
dih				I	
dii				I	
dij				I	
dik				I	din
dil				I	
dim				I	
din	din	din		M	
dio				I	
dip				I	din
diq				I	zza
dir				I	
dis				I	
diu				I	
div	div	div	dv	I	
diw				I	din
dix				I	
diy				I	
diz				I	
djb				I	
djc				I	
djd				I	
dje				I	
dji				I	
djj				I	
djk				I	
djm				I	
djn				I	
djo				I	
djr				I	
dju				I	
dka				I	
dkk				I	
dkr				I	
dks				I	din
dkx				I	
dlg				I	
dlk				I	
dln				I	
dma				I	
dmb				I	
dmc				I	
dme				I	
dmg				I	
dmk				I	
dml				I	
dmm				I	
dmo				I	
dmr				I	
dms				I	
dmu				I	
dmv				I	
dmw				I	
dmx				I	
dmy				I	
dna				I	
dnd				I	
dne				I	
dng				I	
dni				I	
dnj				I	
dnk				I	
dnn				I	
dnr				I	
dnt				I	
dnu				I	
